ts,dt,hype_close,btc_close,ratio,beta,correlation,half_life,zscore_raw,raw_zscore,raw_ratio_rsi,raw_ratio_stoch_rsi,raw_ratio_macd,raw_ratio_ema_cross,raw_ratio_ema_trend,raw_ratio_vwap_dev,raw_obi_diff,raw_cvd_diff,raw_depth_skew_diff,raw_basis_diff,raw_funding_diff,sig_zscore,sig_ratio_rsi,sig_ratio_stoch_rsi,sig_ratio_macd,sig_ratio_ema_cross,sig_ratio_ema_trend,sig_ratio_vwap_dev,sig_obi_diff,sig_cvd_diff,sig_depth_skew_diff,sig_basis_diff,sig_funding_diff,weighted_sum,action,position,hype_hs_mid,btc_hs_mid,hype_bn,btc_bn,hype_funding,btc_funding
1771632000,2026-02-21 00:00:00,30.3220,67977.50,0.00044606,1.0000,0.0000,5.2,1.4499,1.449873,58.132462,53.161963,0.000000,0.162196,0.252354,-0.060721,0.000000,0.170584,0.000000,-142.523810,-0.000065,-0.7249,-0.2711,-0.1054,0.4642,0.1622,0.1262,0.1214,0.0000,0.5686,0.0000,1.0000,0.0650,-0.0011,FLAT,0.0000|0.000000,29.8575,67905.00,30.3220,67977.50,-0.000033,0.000032
1771632000,2026-02-21 00:00:00,30.3220,67977.50,0.00044606,1.4329,0.7501,5.2,1.4499,1.449873,58.132462,53.161963,0.000000,0.162196,0.252354,-0.060721,0.000000,0.170584,0.000000,-142.762260,-0.000065,-0.7249,-0.2711,-0.1054,0.4642,0.1622,0.1262,0.1214,0.0000,0.5686,0.0000,1.0000,0.0650,-0.0011,FLAT,0.0000|0.000000,29.8570,67905.50,30.3220,67977.50,-0.000033,0.000032
1771632300,2026-02-21 00:05:00,30.3880,67949.80,0.00044721,1.0000,0.0000,5.0,1.9994,1.999441,63.268435,100.000000,0.000000,0.185161,0.271412,0.144488,0.000000,0.608287,0.000000,-167.982388,-0.000065,-0.9997,-0.4423,-1.0000,0.5627,0.1852,0.1357,-0.2890,0.0000,1.0000,0.0000,1.0000,0.0650,-0.1144,FLAT,0.0000|0.000000,29.8575,67905.00,30.3880,67949.80,-0.000033,0.000032
1771632300,2026-02-21 00:05:00,30.3880,67949.80,0.00044721,1.4512,0.7277,5.0,1.9994,1.999441,63.268435,100.000000,0.000000,0.185161,0.271412,0.144488,0.000000,0.608287,0.000000,-168.220510,-0.000065,-0.9997,-0.4423,-1.0000,0.5627,0.1852,0.1357,-0.2890,0.0000,1.0000,0.0000,1.0000,0.0650,-0.1144,FLAT,0.0000|0.000000,29.8570,67905.50,30.3880,67949.80,-0.000033,0.000032
1771632600,2026-02-21 00:10:00,30.4240,67977.20,0.00044756,1.0000,0.0000,5.4,2.1325,2.132530,64.681879,100.000000,0.000000,0.207009,0.291560,0.180291,0.000000,-0.442114,0.000000,-175.580475,-0.000065,-1.0000,-0.4894,-1.0000,0.6404,0.2070,0.1458,-0.3606,0.0000,-1.0000,0.0000,1.0000,0.0650,-0.2732,FLAT,0.0000|0.000000,29.8575,67905.00,30.4240,67977.20,-0.000033,0.000032
1771632600,2026-02-21 00:10:00,30.4240,67977.20,0.00044756,1.4418,0.7254,5.4,2.1325,2.132530,64.681879,100.000000,0.000000,0.207009,0.291560,0.180291,0.000000,-0.442114,0.000000,-175.818373,-0.000065,-1.0000,-0.4894,-1.0000,0.6404,0.2070,0.1458,-0.3606,0.0000,-1.0000,0.0000,1.0000,0.0650,-0.2732,FLAT,0.0000|0.000000,29.8570,67905.50,30.4240,67977.20,-0.000033,0.000032
1771632900,2026-02-21 00:15:00,30.4120,67920.90,0.00044776,1.0000,0.0000,5.3,2.1956,2.195593,65.477646,100.000000,0.000000,0.223852,0.310663,0.153553,0.000000,-0.162197,0.000000,-179.988385,-0.000065,-1.0000,-0.5159,-1.0000,0.6733,0.2239,0.1553,-0.3071,0.0000,-0.5407,0.0000,1.0000,0.0650,-0.2298,FLAT,0.0000|0.000000,29.8575,67905.00,30.4120,67920.90,-0.000033,0.000032
1771632900,2026-02-21 00:15:00,30.4120,67920.90,0.00044776,1.4477,0.7271,5.3,2.1956,2.195593,65.477646,100.000000,0.000000,0.223852,0.310663,0.153553,0.000000,-0.162197,0.000000,-180.226409,-0.000065,-1.0000,-0.5159,-1.0000,0.6733,0.2239,0.1553,-0.3071,0.0000,-0.5407,0.0000,1.0000,0.0650,-0.2298,FLAT,0.0000|0.000000,29.8570,67905.50,30.4120,67920.90,-0.000033,0.000032
1771633200,2026-02-21 00:20:00,30.4350,67923.60,0.00044808,1.0000,0.0000,5.2,2.3225,2.322474,66.807414,100.000000,0.000000,0.239837,0.330365,0.140428,0.000000,-0.162487,0.000000,-187.010274,-0.000065,-1.0000,-0.5602,-1.0000,0.6962,0.2398,0.1652,-0.2809,0.0000,-0.5416,0.0000,1.0000,0.0650,-0.2275,FLAT,0.0000|0.000000,29.8575,67905.00,30.4350,67923.60,-0.000033,0.000032
1771633200,2026-02-21 00:20:00,30.4350,67923.60,0.00044808,1.4496,0.7275,5.2,2.3225,2.322474,66.807414,100.000000,0.000000,0.239837,0.330365,0.140428,0.000000,-0.162487,0.000000,-187.248171,-0.000065,-1.0000,-0.5602,-1.0000,0.6962,0.2398,0.1652,-0.2809,0.0000,-0.5416,0.0000,1.0000,0.0650,-0.2275,FLAT,0.0000|0.000000,29.8570,67905.50,30.4350,67923.60,-0.000033,0.000032
1771633500,2026-02-21 00:25:00,30.3710,67894.60,0.00044733,1.0000,0.0000,4.7,1.9334,1.933421,60.892476,62.254947,0.000000,0.228731,0.337238,-0.023693,0.000000,0.002082,0.000000,-170.622280,-0.000065,-0.9667,-0.3631,-0.4085,0.5284,0.2287,0.1686,0.0474,0.0000,0.0069,0.0000,1.0000,0.0650,-0.1143,FLAT,0.0000|0.000000,29.8575,67905.00,30.3710,67894.50,-0.000033,0.000032
1771633500,2026-02-21 00:25:00,30.3710,67894.60,0.00044733,1.4603,0.7279,4.7,1.9334,1.933421,60.892476,62.254947,0.000000,0.228731,0.337238,-0.023693,0.000000,0.002082,0.000000,-170.860554,-0.000065,-0.9667,-0.3631,-0.4085,0.5284,0.2287,0.1686,0.0474,0.0000,0.0069,0.0000,1.0000,0.0650,-0.1143,FLAT,0.0000|0.000000,29.8570,67905.50,30.3710,67894.50,-0.000033,0.000032
1771633800,2026-02-21 00:30:00,30.3410,67868.10,0.00044706,1.0000,0.0000,8.0,1.7490,1.748965,58.893954,49.501758,0.000000,0.209961,0.338837,-0.079274,0.000000,-0.132418,0.000000,-164.792345,-0.000065,-0.8745,-0.2965,0.0166,0.3305,0.2100,0.1694,0.1585,0.0000,-0.4414,0.0000,1.0000,0.0650,-0.1101,FLAT,0.0000|0.000000,29.8575,67905.00,30.3410,67868.10,-0.000033,0.000032
1771633800,2026-02-21 00:30:00,30.3410,67868.10,0.00044706,1.2553,0.6925,8.0,1.7490,1.748965,58.893954,49.501758,0.000000,0.209961,0.338837,-0.079274,0.000000,-0.132418,0.000000,-165.030810,-0.000065,-0.8745,-0.2965,0.0166,0.3305,0.2100,0.1694,0.1585,0.0000,-0.4414,0.0000,1.0000,0.0650,-0.1101,FLAT,0.0000|0.000000,29.8570,67905.50,30.3410,67868.10,-0.000033,0.000032
1771634100,2026-02-21 00:35:00,30.2600,67882.20,0.00044577,1.0000,0.0000,7.4,1.0912,1.091194,50.335957,0.000000,-0.000000,0.161086,0.323205,-0.324456,0.000000,-0.436583,0.000000,-136.372639,-0.000065,-0.5456,-0.0112,1.0000,-0.0492,0.1611,0.1616,0.6489,0.0000,-1.0000,0.0000,1.0000,0.0650,-0.0053,FLAT,0.0000|0.000000,29.8575,67905.00,30.2600,67882.20,-0.000033,0.000032
1771634100,2026-02-21 00:35:00,30.2600,67882.20,0.00044577,1.2571,0.6965,7.4,1.0912,1.091194,50.335957,0.000000,-0.000000,0.161086,0.323205,-0.324456,0.000000,-0.436583,0.000000,-136.611531,-0.000065,-0.5456,-0.0112,1.0000,-0.0492,0.1611,0.1616,0.6489,0.0000,-1.0000,0.0000,1.0000,0.0650,-0.0053,FLAT,0.0000|0.000000,29.8570,67905.50,30.2600,67882.20,-0.000033,0.000032
1771634400,2026-02-21 00:40:00,30.1610,67821.30,0.00044471,1.0000,0.0000,6.5,0.5782,0.578190,44.588114,0.000000,-0.000000,0.096716,0.295325,-0.492117,0.000000,-0.144091,0.000000,-112.967893,-0.000065,-0.2891,0.1804,1.0000,-0.4846,0.0967,0.1477,0.9842,0.0000,-0.4803,0.0000,1.0000,0.0650,0.0770,FLAT,0.0000|0.000000,29.8575,67905.00,30.1610,67821.30,-0.000033,0.000032
1771634400,2026-02-21 00:40:00,30.1610,67821.30,0.00044471,1.2653,0.7087,6.5,0.5782,0.578190,44.588114,0.000000,-0.000000,0.096716,0.295325,-0.492117,0.000000,-0.144091,0.000000,-113.207393,-0.000065,-0.2891,0.1804,1.0000,-0.4846,0.0967,0.1477,0.9842,0.0000,-0.4803,0.0000,1.0000,0.0650,0.0770,FLAT,0.0000|0.000000,29.8570,67905.50,30.1610,67821.30,-0.000033,0.000032
1771634700,2026-02-21 00:45:00,30.1740,67838.60,0.00044479,1.0000,0.0000,7.1,0.6264,0.626404,45.086702,2.243942,-0.000000,0.050037,0.270895,-0.453786,0.000000,0.059798,0.000000,-114.679566,-0.000065,-0.3132,0.1638,1.0000,-0.7379,0.0500,0.1354,0.9076,0.0000,0.1993,0.0000,1.0000,0.0650,0.0902,FLAT,0.0000|0.000000,29.8575,67905.00,30.1740,67838.60,-0.000033,0.000032
1771634700,2026-02-21 00:45:00,30.1740,67838.60,0.00044479,1.2486,0.7048,7.1,0.6264,0.626404,45.086702,2.243942,-0.000000,0.050037,0.270895,-0.453786,0.000000,0.059798,0.000000,-114.918976,-0.000065,-0.3132,0.1638,1.0000,-0.7379,0.0500,0.1354,0.9076,0.0000,0.1993,0.0000,1.0000,0.0650,0.0902,FLAT,0.0000|0.000000,29.8570,67905.50,30.1740,67838.60,-0.000033,0.000032
1771635000,2026-02-21 00:50:00,30.1810,67846.80,0.00044484,1.0000,0.0000,7.8,0.6470,0.646965,45.420811,3.747633,-0.000000,0.016375,0.249216,-0.411316,0.000000,-0.200011,0.000000,-115.764790,-0.000065,-0.3235,0.1526,1.0000,-0.8670,0.0164,0.1246,0.8226,0.0000,-0.6667,0.0000,1.0000,0.0650,-0.0041,FLAT,0.0000|0.000000,29.8575,67905.00,30.1810,67846.80,-0.000033,0.000032
