ts,dt,hype_close,btc_close,ratio,beta,correlation,half_life,zscore_raw,raw_zscore,raw_ratio_rsi,raw_ratio_stoch_rsi,raw_ratio_macd,raw_ratio_ema_cross,raw_ratio_ema_trend,raw_ratio_vwap_dev,raw_obi_diff,raw_cvd_diff,raw_depth_skew_diff,raw_basis_diff,raw_funding_diff,sig_zscore,sig_ratio_rsi,sig_ratio_stoch_rsi,sig_ratio_macd,sig_ratio_ema_cross,sig_ratio_ema_trend,sig_ratio_vwap_dev,sig_obi_diff,sig_cvd_diff,sig_depth_skew_diff,sig_basis_diff,sig_funding_diff,weighted_sum,action,position,hype_hs_mid,btc_hs_mid,hype_bn,btc_bn,hype_funding,btc_funding
1771267500,2026-02-16 18:45:00,29.8530,67897.30,0.00043968,0.8348,0.6571,9.7,-0.0087,-0.008701,47.686984,65.970027,0.000000,-0.034967,-0.067833,0.000000,-0.691464,0.091521,-0.610759,-2.234543,-0.000108,0.0044,0.0771,-0.5323,0.1832,-0.0350,-0.0339,-0.0000,-1.0000,0.3051,-1.0000,0.0447,0.1080,-0.1544,FLAT,0.0000|0.000000,29.8480,67901.00,29.8530,67897.20,-0.000070,0.000038
1771267800,2026-02-16 18:50:00,29.8740,67950.60,0.00043964,0.8454,0.6696,11.1,-0.0280,-0.027990,47.419436,63.951475,0.000000,-0.032865,-0.067882,-0.004195,-0.606320,-0.109069,-0.758894,-7.088644,-0.000054,0.0140,0.0860,-0.4650,0.1655,-0.0329,-0.0339,0.0084,-1.0000,-0.3636,-1.0000,0.1418,0.0540,-0.1994,FLAT,0.0000|0.000000,29.8570,67960.00,29.8740,67950.50,-0.000033,0.000021
1771268100,2026-02-16 18:55:00,29.8620,67833.00,0.00044023,0.8423,0.6706,10.6,0.1671,0.167076,52.142495,99.585291,0.000000,-0.016220,-0.060365,0.062593,-0.423780,0.373205,-0.760132,0.106434,0.000014,-0.0835,-0.0714,-1.0000,0.2045,-0.0162,-0.0302,-0.1252,-0.8476,1.0000,-1.0000,-0.0021,-0.0140,-0.1591,FLAT,0.0000|0.000000,29.8665,67842.50,29.8620,67833.00,-0.000035,-0.000049
1771268400,2026-02-16 19:00:00,29.8770,67854.60,0.00044031,0.8468,0.6779,9.6,0.1799,0.179915,52.774134,100.000000,0.000000,-0.001814,-0.052566,0.051574,-0.263465,0.058515,-0.569889,-6.479586,-0.000074,-0.0900,-0.0925,-1.0000,0.2300,-0.0018,-0.0263,-0.1031,-0.5269,0.1951,-1.0000,0.1296,0.0740,-0.1780,FLAT,0.0000|0.000000,29.8620,67864.50,29.8770,67854.60,-0.000036,0.000038
1771268700,2026-02-16 19:05:00,29.9310,67916.00,0.00044071,0.8485,0.6787,9.3,0.3067,0.306729,55.852768,100.000000,0.000000,0.018538,-0.040572,0.115886,-1.034622,-0.175363,-0.653398,0.596181,-0.000061,-0.1534,-0.1951,-1.0000,0.2744,0.0185,-0.0203,-0.2318,-1.0000,-0.5845,-1.0000,-0.0119,0.0610,-0.3189,SHORT_HYPE_LONG_BTC,0.0000|0.000000,29.9375,67926.50,29.9310,67915.80,-0.000036,0.000025
1771269000,2026-02-16 19:10:00,29.9090,67956.80,0.00044012,0.8469,0.6776,9.2,0.0768,0.076809,50.589964,68.877075,0.000000,0.018414,-0.037306,-0.016809,-0.064005,-0.239744,-0.384234,-8.595828,0.000051,-0.0384,-0.0197,-0.6292,0.2367,0.0184,-0.0187,0.0336,-0.1280,-0.7991,-0.7685,0.1719,-0.0510,-0.1512,FLAT,0.0000|0.000000,29.8880,67967.50,29.9090,67956.80,-0.000028,-0.000079
1771269300,2026-02-16 19:15:00,29.8550,67854.60,0.00043998,0.8488,0.6789,8.8,0.0108,0.010784,49.456042,49.574344,0.000000,0.014694,-0.035995,-0.043884,-0.714441,0.458874,-0.460175,2.453256,-0.000040,-0.0054,0.0181,0.0142,0.1911,0.0147,-0.0180,0.0878,-1.0000,1.0000,-0.9203,-0.0491,0.0400,-0.0580,FLAT,0.0000|0.000000,29.8680,67867.50,29.8550,67854.60,-0.000024,0.000016
1771269600,2026-02-16 19:20:00,29.9640,67965.90,0.00044087,0.8471,0.6799,7.8,0.3237,0.323738,56.441932,100.000000,0.000000,0.033614,-0.023645,0.126568,-1.042752,-0.397727,-0.916957,-0.667817,-0.000038,-0.1619,-0.2147,-1.0000,0.2362,0.0336,-0.0118,-0.2531,-1.0000,-1.0000,-1.0000,0.0134,0.0380,-0.3590,SHORT_HYPE_LONG_BTC,0.0000|0.000000,29.9605,67962.50,29.9640,67965.90,-0.000028,0.000010
1771269900,2026-02-16 19:25:00,29.9410,67932.90,0.00044074,0.8544,0.6818,8.1,0.2591,0.259088,55.282891,89.814682,0.000000,0.043674,-0.014307,0.088266,0.155352,0.043925,0.445695,-1.077360,-0.000060,-0.1295,-0.1761,-1.0000,0.2423,0.0437,-0.0072,-0.1765,0.3107,0.1464,0.8914,0.0215,0.0600,0.0143,FLAT,0.0000|0.000000,29.9625,67989.00,29.9410,67932.90,-0.000037,0.000023
1771270200,2026-02-16 19:30:00,29.9210,67976.40,0.00044017,0.8568,0.6831,7.2,0.0117,0.011711,50.146073,30.220422,0.000000,0.035917,-0.013304,-0.040206,-0.328728,0.034537,-0.437643,-8.381404,-0.000062,-0.0059,-0.0049,0.6593,0.1862,0.0359,-0.0067,0.0804,-0.6575,0.1151,-0.8753,0.1676,0.0620,-0.0349,FLAT,0.0000|0.000000,29.9005,67983.00,29.9210,67972.60,-0.000023,0.000039
